code,name,parent_code,level,prefixed_id
40,Afghanistan,,0,120fb586-2464-4d02-beaa-fcad022d4706
80,Albania,,0,34b5235d-8a89-4ffd-a006-a759fa56beb5
120,Algeria,,0,985bb0fe-d305-4d1e-851b-7957e3528f9e
240,Angola,,0,9a253a39-fac0-4639-b290-e371315874d5
280,Antigua and Barbuda,,0,74f59448-8b0b-4e68-b396-59848da0ad17
320,Argentina,,0,b456144c-05f7-4cc5-9165-8ce4b868f619
510,Armenia,,0,db262d37-00c4-4003-ac19-27bdd3753d8b
5330,Aruba,,0,da946504-6666-440f-8142-570f14be3870
360,Australia,,0,29034ded-6898-4986-a3e7-a1094dd6b7ed
400,Austria,,0,e7704b94-a88d-46aa-8de1-078bb9ae0c97
310,Azerbaijan,,0,7837f057-f1a6-442b-981d-085b0c137721
440,Bahamas,,0,213f7db0-63c1-4053-8a91-0a5587d505fb
480,Bahrain,,0,32b52855-20fd-46e9-9792-c75e017f0e93
500,Bangladesh,,0,01c26e01-0146-4809-8e48-3ea586aea4ca
520,Barbados,,0,e9a3e353-02f5-4000-be25-6f6cd4242c8b
1120,Belarus,,0,bb3aefc1-62a0-4002-ad87-f4e32726d4d2
560,Belgium,,0,9c5f2d4a-51bc-48fb-afb6-323237e95c5a
840,Belize,,0,56709c8a-4330-406e-94a2-dfe13cdc6ed4
2040,Benin,,0,4e8c570c-c9be-406d-a6f0-d52cefc5a5ad
600,Bermuda,,0,d060eba0-27af-4b6f-b126-25ea18232a44
640,Bhutan,,0,7e67accb-2e16-4437-a09e-01c3aa8535bf
680,Bolivia (Plurinational State of),,0,74df04de-1bee-411e-8b93-9fbb55b19eac
700,Bosnia and Herzegovina,,0,adfe7254-c3be-4a20-80b8-d201a48fd61f
720,Botswana,,0,2acef0e8-9f11-4dbc-9167-8f7dbf0e7bf3
760,Brazil,,0,0e7e8d19-56a5-412a-8aae-80c39df017a7
960,Brunei Darussalam,,0,cbdd3ff9-0a1d-4412-a768-499a81d7d324
1000,Bulgaria,,0,cfa4165e-2492-4678-8d96-583f8f154573
8540,Burkina Faso,,0,83b51e72-0ae1-4157-9c18-eaee8d879554
1080,Burundi,,0,df437721-0f83-42b0-aeee-81f9569b5689
1320,Cabo Verde,,0,4b7b96e1-fd7a-4f3c-9c7b-d5be53e5a74d
1160,Cambodia,,0,6da8d2e0-4a2f-4e09-8e75-ade7648cb6b2
1200,Cameroon,,0,bc28f645-b29f-47fd-95ef-29c15681dd74
1240,Canada,,0,6327382f-18d8-4e80-898b-9178322e3653
1360,Cayman Islands,,0,4fe50ec2-8054-4379-a8f7-2e212a5351ad
1400,Central African Republic,,0,075c12b5-0060-4181-9ee5-9d0ed04faca5
1480,Chad,,0,2661232b-205a-41f1-b7e8-d4f10e2389ae
1520,Chile,,0,4091e7db-809e-4467-bf95-820e27e70514
1560,China,,0,a6802d25-e567-4c7b-9402-738c2433c606
3440,"China, Hong Kong SAR",,0,090eb513-52f4-4003-88cf-228fb59203fb
4460,"China, Macao SAR",,0,b6b22795-a718-4afc-9afd-f8895998dbd6
1580,"China, Taiwan Province",,0,27489e36-8b60-498d-a3e0-24237ccf20d6
1700,Colombia,,0,04dece6d-fde2-49a6-93c9-ef52f7d023aa
1780,Congo,,0,52eab2ab-c7a9-466f-bec6-edc43e52873d
1840,Cook Islands,,0,e230f3c4-4670-4d04-b92f-e829293c1a5c
1880,Costa Rica,,0,ffd3904e-2f39-4fe3-8058-df38a97eb7e7
1910,Croatia,,0,0fff9c67-8c34-4d35-a026-971f2bd9c78d
1920,Cuba,,0,df15c68f-c3fd-4429-979f-04e7c653ce52
5310,Curaçao,,0,ca3c9a53-7566-49d8-ac89-242d0a331244
1960,Cyprus,,0,5b5085cf-a19a-46d2-8bc0-6f464a31f6c9
2030,Czechia,,0,b9752568-1bec-4d17-91d9-193a7cc7f2cc
2000,Czechoslovakia,,0,ce66f7b4-ba6a-45dc-8581-5c8989fbfb02
3840,Côte d'Ivoire,,0,efef3ef5-ae03-41dc-b952-f5f7901388f3
2080,Denmark,,0,173c588c-d9db-4e0e-8dac-192103028c17
2140,Dominican Republic,,0,445f0a96-1fd4-43b1-820b-10e4bcac6110
2180,Ecuador,,0,606e4176-414b-4bb1-9c95-a9d223338139
8180,Egypt,,0,bee49d83-3950-42e6-b81c-ecdba8922b1b
2220,El Salvador,,0,1f21249d-dc60-405f-a446-1a6e2f647923
2260,Equatorial Guinea,,0,2c09867c-313a-4dec-943e-28fee949cc6b
2320,Eritrea,,0,6df4d8c1-2417-4c5b-8fbc-283ba5ed6915
2330,Estonia,,0,c8ace638-cd40-470e-9337-089b2f7b66b9
7480,Eswatini,,0,61a0cec7-0ce3-4672-9681-faab77af55e2
2310,Ethiopia,,0,a350533c-2072-40d0-b2be-de28d4c649e6
2300,Ethiopia and Eritrea,,0,b47d56fc-3c4c-44c2-a364-4b769a4fbb73
2420,Fiji,,0,3944e177-e3c0-4d3a-aed8-833a21e0249e
2460,Finland,,0,48fdeabc-60ce-48e4-8e9d-5e8d9de22df1
7360,Former Sudan,,0,edaa6ece-5698-4d86-ba33-8f663561159f
2500,France,,0,c071022e-8dd6-4870-906c-2c85f26e1faf
2660,Gabon,,0,f4f9b444-41d4-4d00-8c0c-2b7adbaeab97
2700,Gambia,,0,82f52a31-97e6-4b8b-9f52-e454c49b5231
2680,Georgia,,0,99bdd93d-0533-4522-8d93-92957b62384f
2760,Germany,,0,aac61f15-ca7d-4c93-b601-76d4a0337366
2780,"Germany, Dem Rep",,0,a4ea3728-8abf-45e6-b36b-8cf176a9f532
2800,"Germany, Fed Rep",,0,3fcc34d3-87f9-4dea-ba00-787647e46ed2
2880,Ghana,,0,15319c33-423a-41fd-806f-94486d4c6574
3000,Greece,,0,24205636-d083-4639-946b-a3a1768b9054
3040,Greenland,,0,e23091f2-e2fd-4884-8371-aa45db01c2f0
3200,Guatemala,,0,490ee4fb-2bfb-43d7-b88c-8959699a16ea
3280,Guyana,,0,daa0c2ea-01f7-4dca-9c00-d933d1698a88
3320,Haiti,,0,16295805-6853-48c3-a942-dc7681879de8
3400,Honduras,,0,ba09f15d-1ea4-403a-aa00-4da60970e6de
3480,Hungary,,0,8c766fd1-91b8-4b61-9098-9e9ce31991bd
3520,Iceland,,0,e1d2e653-33a2-440f-93aa-05611610572c
3560,India,,0,61c64db8-229d-4a1b-ba66-613d3a9678f8
3600,Indonesia,,0,03866ae8-0fe6-4e4f-baf6-efc75c39078a
